codes,labels
BE_0BEANR ,Antwerpen
BE_0BEGNE ,Gent (Ghent)
BE_0BEOST ,Oostende (Ostend)
BE_0BEZEE ,Zeebrugge
DE_1DE017 ,Föhr
DE_1DE116 ,Germany (Elbe) - other ports
DE_1DE76Y ,Esens
DE_1DE88N ,Germany (North Sea) - other ports
DE_1DEAGE ,Wangerooge
DE_1DEBEI ,Beidenfleth
DE_1DEBEN ,Bensersiel
DE_1DEBKE ,Brake
DE_1DEBMK ,Borkum
DE_1DEBMR ,Baltrum
DE_1DEBRB ,Brunsbüttel
DE_1DEBRE ,Bremen
DE_1DEBRV ,Bremerhaven
DE_1DEBUM ,Büsum
DE_1DEBUZ ,Bützfleth
DE_1DECAR ,Carolinensiel
DE_1DECUX ,Cuxhaven
DE_1DEDAG ,Dagebüll
DE_1DEEME ,Emden
DE_1DEGLU ,Glückstadt
DE_1DEGXR ,Gröde
DE_1DEHAM ,Hamburg
DE_1DEHGL ,Helgoland
DE_1DEHUS ,Husum
DE_1DEIAM ,Amrum
DE_1DEITZ ,Itzehoe
DE_1DEJUI ,Juist
DE_1DELEE ,Leer
DE_1DELGO ,Langeoog
DE_1DELIS ,List/Sylt
DE_1DENES ,Nessmersiel
DE_1DENHA ,Nordenham
DE_1DENHS ,Neuharlingersiel
DE_1DENOE ,Norddeich
DE_1DENOR ,Nordstrand
DE_1DENRD ,Norderney
DE_1DEOLO ,Oldenburg
DE_1DEPAP ,Papenburg
DE_1DEPEL ,Pellworm
DE_1DESPI ,Spieckeroog
DE_1DESTA ,Stade
DE_1DEWED ,Wedel-Schulau
DE_1DEWIF ,Wischhafen
DE_1DEWMD ,Wittmund
DE_1DEWVN ,Wilhelmshaven
DE_2DEANK ,Anklam
DE_2DEBOF ,Berndshof
DE_2DEBSK ,Burgstaaken/Fehmarn
DE_2DEDMN ,Demmin
DE_2DEECK ,Eckernförde
DE_2DEFLF ,Flensburg
DE_2DEGRD ,Greifswald
DE_2DEHHF ,Heiligenhafen
DE_2DEKAP ,Kappeln
DE_2DEKEL ,Kiel
DE_2DELBC ,Lübeck
DE_2DENHO ,Neustadt/Holstein
DE_2DEPUB ,Putbus
DE_2DEPUT ,Puttgarden
DE_2DEREN ,Rendsburg
DE_2DERSK ,Rostock
DE_2DESAS ,Sassnitz
DE_2DESTL ,Stralsund
